brand,post_id,comments,views,likes,is_removed,unique_faces,detected_faces,is_product_in_usage,product_clearly_seen,is_a_child_or_baby_present,hashtag_ad_count,standalone_ad_count,most_common,words_count,paid_partnership,KEYWORDS_CAPTION,has_emoji,sponsor_integration_in_caption,CTA_BUY,CTA_GIFT,CTA_SIGN_UP,CTA_READ,CTA_FIND_OUT,PG_BRAND,COTERIE_BRAND,HEALTHYBABY_BRAND,HONEST_BRAND,HUGGIES_BRAND,KUDOSTOBABY_BRAND,LUVS_BRAND,MYMILLIEMOON_BRAND,FIRST_PERSON_QUESTIONS,GENERAL_AUDIENCE_QUESTIONS,NEGATIVE_HOOK,brand_counts,narrative_changes,brand_as_sponsor,num_scenes
honest,C9-Apt8JH7f,31,0,42009,False,0.0,0.0,False,False,False,0,0,equal,26,1,False,True,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,2.0
honest,C65KuSLsHLH,11,0,12687,False,3.0,3.0,False,False,False,0,0,equal,45,1,False,True,0.0,False,False,False,False,False,,,,,,,,,,,,,,,
honest,C7g5McJg9zf,111,0,249,False,32.0,45.0,True,True,True,1,0,hashtag_ad,28,0,False,True,0.7857142857142857,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.0,1.0,0.0,711.0
honest,C7O3lAuuKU6,155,0,242,False,45.0,58.0,True,True,True,1,0,hashtag_ad,36,0,False,True,0.8888888888888888,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.0,1.0,0.0,907.0
honest,DBOy2gXPWhk,61,0,3,False,30.0,53.0,True,True,True,1,0,hashtag_ad,31,0,True,True,0.5806451612903226,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.0,1.0,0.0,335.0
honest,C-Toc02RZ7Z,21,0,2427,False,2.0,2.0,False,True,True,1,0,hashtag_ad,59,0,False,True,0.0,False,False,False,False,False,,,,,,,,,,,,,,,
honest,C-RHIV_gshH,524,0,3712,False,,,,,,1,0,hashtag_ad,118,0,False,True,0.0,False,False,False,False,False,,,,,,,,,,,,,,,
honest,C5V5rSFL72n,41,0,3467,False,112.0,151.0,True,True,True,1,0,hashtag_ad,46,0,False,True,0.3695652173913043,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2.0,1.0,0.0,501.0
honest,C-LI26lvdIl,22,0,3198,False,2.0,2.0,False,True,True,1,0,hashtag_ad,65,0,False,True,0.0,False,False,False,False,False,,,,,,,,,,,,,,,
honest,C-IRz2Jxh5-,1255,0,2858,False,2.0,2.0,False,True,True,1,0,hashtag_ad,112,0,False,True,0.0,False,False,False,False,False,,,,,,,,,,,,,,,
