number_of_frames,is_blinking,is_right,is_left,is_center,file_name,brand_name,media_type
1,0,0,0,1,C3NTFcRrinp_2024-02-11_12-50-32_UTC.jpg,healthybaby.co,image
1,0,0,0,0,C5hSfoPJhqi_2024-04-09_00-11-29_UTC.jpg,healthybaby.co,image
1,0,0,0,0,C9LGOjnyTnx_2024-07-08_19-26-34_UTC.jpg,healthybaby.co,image
1,0,0,0,0,C5jgnkvuJ2Q_2024-04-09_20-53-23_UTC_2.jpg,healthybaby.co,image
1,0,0,0,0,C5yb9mTsBUI_2024-04-15_16-01-58_UTC.jpg,healthybaby.co,image
1,0,0,0,0,C5hQEN0ukjw_2024-04-08_23-50-16_UTC.jpg,healthybaby.co,image
1,0,0,0,0,C3Blevwuey0_2024-02-06_23-40-13_UTC.jpg,healthybaby.co,image
1,0,0,0,1,C3RCWt5Ol8A_2024-02-12_23-44-34_UTC_1.jpg,healthybaby.co,image
1,0,0,0,0,C5rB3l5POUA_2024-04-12_18-58-36_UTC.jpg,healthybaby.co,image
1,0,0,0,0,C5jgnkvuJ2Q_2024-04-09_20-53-23_UTC_1.jpg,healthybaby.co,image
1,0,0,0,0,C517N2crijX_2024-04-17_00-32-07_UTC.jpg,healthybaby.co,image
1,0,0,0,0,C0SJ2okxsRd_2023-11-30_20-32-54_UTC.jpg,healthybaby.co,image
993,11,0,6,11,C0SJ2okxsRd_2023-11-30_20-32-54_UTC_1.mp4,healthybaby.co,video
465,0,0,0,4,C3RCWt5Ol8A_2024-02-12_23-44-34_UTC.mp4,healthybaby.co,video
465,0,0,0,4,C3Blevwuey0_2024-02-06_23-40-13_UTC_1.mp4,healthybaby.co,video
465,0,0,0,4,C3NTFcRrinp_2024-02-11_12-50-32_UTC_1.mp4,healthybaby.co,video
