number_of_frames,is_blinking,is_right,is_left,is_center,file_name,brand_name,media_type
1,0,0,1,0,C87zZpiS232_2024-07-02_20-54-17_UTC_1.jpg,huggies,image
1,0,0,0,0,DB7T_Y2AF4X_2024-11-03_22-55-58_UTC_5.jpg,huggies,image
1,0,0,0,0,C7BC1aagflN_2024-05-16_04-41-44_UTC_6.jpg,huggies,image
1,0,0,0,0,C-I3OWdSv5q_2024-08-01_19-12-46_UTC_1.jpg,huggies,image
1,0,0,0,0,Cz8bipmghft_2023-11-22_10-09-29_UTC_1.jpg,huggies,image
1,0,0,0,0,C-koFEkuCmV_2024-08-12_13-54-47_UTC_2.jpg,huggies,image
1,0,0,0,0,C-koFEkuCmV_2024-08-12_13-54-47_UTC_1.jpg,huggies,image
1,0,0,0,0,DBRaZMjyWx__2024-10-18_16-26-15_UTC_1.jpg,huggies,image
1,1,0,0,1,C5EN-hWLUmw_2024-03-28_17-19-34_UTC_1.jpg,huggies,image
1,0,0,0,0,C-dg2POyvPv_2024-08-09_19-36-54_UTC_2.jpg,huggies,image
1,0,0,0,0,C2aUCVtL22X_2024-01-22_17-36-22_UTC_1.jpg,huggies,image
1,0,0,1,0,C3imYV3vKKS_2024-02-19_19-23-52_UTC.jpg,huggies,image
1,0,0,0,0,DARj507OHuk_2024-09-23_21-18-04_UTC.jpg,huggies,image
1,0,0,0,0,DB7T_Y2AF4X_2024-11-03_22-55-58_UTC_1.jpg,huggies,image
1,0,0,0,0,C0PdABPv64r_2023-11-29_19-40-19_UTC.jpg,huggies,image
1,0,0,0,0,C-IjfBpRcFo_2024-08-01_16-22-42_UTC_1.jpg,huggies,image
1,0,0,1,0,C9nOAW7JrHu_2024-07-19_17-34-26_UTC.jpg,huggies,image
1,0,0,0,0,C1Kd7zlRSXh_2023-12-22_17-25-01_UTC.jpg,huggies,image
1,1,0,1,0,C65KuSLsHLH_2024-05-13_03-16-44_UTC_3.jpg,huggies,image
1,0,0,0,1,C9DxcNBOvEN_2024-07-05_23-11-28_UTC_1.jpg,huggies,image
1,0,0,0,0,C90D8cPvFyx_2024-07-24_17-17-12_UTC_1.jpg,huggies,image
1,0,0,0,0,C662tvXuuWH_2024-05-13_19-01-11_UTC.jpg,huggies,image
1,0,0,0,0,C9kgqSaP9bA_2024-07-18_16-32-19_UTC.jpg,huggies,image
1,0,0,0,0,DBhJ45wNr1r_2024-10-24_19-07-52_UTC_1.jpg,huggies,image
1,0,0,0,0,C9kga3tOm3k_2024-07-18_16-18-50_UTC.jpg,huggies,image
1,0,0,0,0,C9-Apt8JH7f_2024-07-28_13-59-07_UTC_3.jpg,huggies,image
1,0,0,0,0,C14xrwSLLbh_2024-01-09_17-02-13_UTC_1.jpg,huggies,image
1,0,0,0,0,C6kpwFcLpCG_2024-05-05_04-03-49_UTC_2.jpg,huggies,image
1,1,0,1,0,C6tzop_JXBE_2024-05-08_17-24-38_UTC.jpg,huggies,image
1,0,0,0,0,C88Iv-pOgW1_2024-07-03_00-01-42_UTC_1.jpg,huggies,image
1,0,0,0,0,C6kpwFcLpCG_2024-05-05_04-03-49_UTC_1.jpg,huggies,image
1,1,0,1,0,C7E9xNpubJs_2024-05-17_17-17-11_UTC.jpg,huggies,image
1,1,0,1,0,C7Rv6NquyoR_2024-05-22_16-24-36_UTC.jpg,huggies,image
1,0,0,0,0,C7jwDHbJbTk_2024-05-29_16-11-18_UTC.jpg,huggies,image
1,0,0,0,0,C6xb9OxL3K2_2024-05-10_03-14-31_UTC_1.jpg,huggies,image
1,1,0,0,1,C-dVesRynk8_2024-08-09_17-58-23_UTC.jpg,huggies,image
1,0,0,0,0,C2z29pLMIcD_2024-02-01_15-43-54_UTC_1.jpg,huggies,image
1,0,0,0,0,C2k-TsLRzzG_2024-01-26_20-59-28_UTC_1.jpg,huggies,image
1,0,0,0,0,C3ISNi-MwmY_2024-02-09_14-05-14_UTC.jpg,huggies,image
1,0,0,0,0,C61N2jtOAy8_2024-05-11_14-28-10_UTC_1.jpg,huggies,image
1,0,0,0,0,C7BC1aagflN_2024-05-16_04-41-44_UTC_5.jpg,huggies,image
1,0,0,0,0,C-koFEkuCmV_2024-08-12_13-54-47_UTC_3.jpg,huggies,image
1,0,0,0,0,C6uMM4hOVdw_2024-05-08_21-26-54_UTC.jpg,huggies,image
1,0,0,0,0,C7UVpgGprqr_2024-05-23_16-32-18_UTC.jpg,huggies,image
1,0,0,0,1,C22zJ2dvtuY_2024-02-02_19-06-44_UTC_1.jpg,huggies,image
1,0,0,0,0,C-8NcA9OBzd_2024-08-21_17-43-46_UTC_2.jpg,huggies,image
1,0,0,0,0,C0J1e0OMM7J_2023-11-27_15-01-22_UTC.jpg,huggies,image
1,0,0,0,0,C7BC1aagflN_2024-05-16_04-41-44_UTC_7.jpg,huggies,image
1,0,0,0,0,C_luKhJvW8i_2024-09-06_20-41-49_UTC.jpg,huggies,image
1,0,0,0,0,C7jvykEuMjz_2024-05-29_16-08-44_UTC_4.jpg,huggies,image
1,0,0,0,0,C6kpwFcLpCG_2024-05-05_04-03-49_UTC_6.jpg,huggies,image
1,0,0,0,1,C22zJ2dvtuY_2024-02-02_19-06-44_UTC_3.jpg,huggies,image
