number_of_frames,is_blinking,is_right,is_left,is_center,file_name,brand_name,media_type
1,0,0,0,1,DBT_TjZuVRy_2024-10-19_16-28-58_UTC.jpg,luvs,image
1,0,0,1,0,C-AVkOPu83I_2024-07-29_11-41-30_UTC_1.jpg,luvs,image
1,0,0,0,0,C9dIfxWPZgA_2024-07-15_19-32-44_UTC.jpg,luvs,image
1,0,0,1,0,C-1MqcxtRN4_2024-08-19_00-32-49_UTC.jpg,luvs,image
1,0,0,0,0,C5CGC03OT5K_2024-03-27_21-27-10_UTC_1.jpg,luvs,image
1,0,0,0,0,DA9HBGQyqM3_2024-10-10_19-13-59_UTC_1.jpg,luvs,image
1,0,0,0,0,C982gNVxBjW_2024-07-28_03-11-12_UTC_1.jpg,luvs,image
1,0,0,0,0,C9f-biYyiMk_2024-07-16_22-03-25_UTC_1.jpg,luvs,image
1,0,0,0,0,C982gNVxBjW_2024-07-28_03-11-12_UTC_2.jpg,luvs,image
1,0,0,0,0,C9S_h87JjN-_2024-07-11_21-04-44_UTC.jpg,luvs,image
1,0,0,0,0,C9fE_zQuIJQ_2024-07-16_13-41-15_UTC.jpg,luvs,image
1,1,0,1,0,C5B4Hq6plwu_2024-03-27_19-24-59_UTC.jpg,luvs,image
1,0,0,0,0,C-70YVfueUg_2024-08-21_14-04-48_UTC.jpg,luvs,image
1,0,0,0,0,C98mBygJv7g_2024-07-28_00-47-14_UTC.jpg,luvs,image
1,1,0,1,0,DBtzE9WuSrx_2024-10-29_17-02-08_UTC_1.jpg,luvs,image
1,0,0,0,0,DBhRGUOSDcn_2024-10-24_20-12-39_UTC.jpg,luvs,image
1,0,0,0,0,DBhl_UJShgH_2024-10-24_23-14-29_UTC_1.jpg,luvs,image
1,0,0,0,0,DAIunnIRLYW_2024-09-20_11-03-06_UTC_1.jpg,luvs,image
1,0,0,1,0,DAHBZ0lviC7_2024-09-19_19-07-33_UTC.jpg,luvs,image
1,0,0,0,0,C4q0gF1pn8A_2024-03-18_20-32-54_UTC_1.jpg,luvs,image
841,46,0,113,48,C-1MqcxtRN4_2024-08-19_00-32-49_UTC_1.mp4,luvs,video
827,0,0,0,0,C5B4Hq6plwu_2024-03-27_19-24-59_UTC_1.mp4,luvs,video
715,127,0,97,88,C9fE_zQuIJQ_2024-07-16_13-41-15_UTC_1.mp4,luvs,video
1186,51,0,154,26,DAHBZ0lviC7_2024-09-19_19-07-33_UTC_1.mp4,luvs,video
1792,36,0,112,45,DBT_TjZuVRy_2024-10-19_16-28-58_UTC_1.mp4,luvs,video
1206,0,0,3,0,DBhl_UJShgH_2024-10-24_23-14-29_UTC.mp4,luvs,video
921,40,0,69,95,DA9HBGQyqM3_2024-10-10_19-13-59_UTC.mp4,luvs,video
811,34,0,33,22,DBhRGUOSDcn_2024-10-24_20-12-39_UTC_1.mp4,luvs,video
594,6,0,47,3,C-AVkOPu83I_2024-07-29_11-41-30_UTC.mp4,luvs,video
798,0,0,0,0,C9S_h87JjN-_2024-07-11_21-04-44_UTC_1.mp4,luvs,video
892,5,0,71,3,C4q0gF1pn8A_2024-03-18_20-32-54_UTC.mp4,luvs,video
1115,116,0,132,2,DBtzE9WuSrx_2024-10-29_17-02-08_UTC.mp4,luvs,video
120,0,0,0,0,DAIunnIRLYW_2024-09-20_11-03-06_UTC.mp4,luvs,video
1096,1,0,25,3,C5CGC03OT5K_2024-03-27_21-27-10_UTC.mp4,luvs,video
511,26,0,39,0,C9f-biYyiMk_2024-07-16_22-03-25_UTC.mp4,luvs,video
