number_of_frames,is_blinking,is_right,is_left,is_center,file_name,brand_name,media_type
1,0,0,0,1,C05cJndon4E_2023-12-16_02-40-39_UTC_2.jpg,mymilliemoon,image
1,0,0,0,0,C4dnb2iRGj__2024-03-13_17-27-32_UTC_1.jpg,mymilliemoon,image
1,0,0,0,0,C05cJndon4E_2023-12-16_02-40-39_UTC_4.jpg,mymilliemoon,image
1,1,0,0,1,DBPzDigtYKm_2024-10-18_01-20-00_UTC_1.jpg,mymilliemoon,image
1,0,0,0,0,C8XyNnyv-oF_2024-06-18_21-14-49_UTC_1.jpg,mymilliemoon,image
1,0,0,0,0,C05cJndon4E_2023-12-16_02-40-39_UTC_3.jpg,mymilliemoon,image
1,0,0,0,0,C9FjL_nx-fg_2024-07-06_15-45-34_UTC_1.jpg,mymilliemoon,image
1,0,0,0,1,C05cJndon4E_2023-12-16_02-40-39_UTC_1.jpg,mymilliemoon,image
1,0,0,0,0,DBRrUMBySnN_2024-10-18_18-53-26_UTC_1.jpg,mymilliemoon,image
1,0,0,0,1,C379j90r-IJ_2024-02-29_15-53-11_UTC_1.jpg,mymilliemoon,image
1,0,0,0,0,C_wHWYvyrZy_2024-09-10_21-31-25_UTC.jpg,mymilliemoon,image
174,23,0,44,7,DBPzDigtYKm_2024-10-18_01-20-00_UTC.mp4,mymilliemoon,video
342,0,0,1,0,C4dnb2iRGj__2024-03-13_17-27-32_UTC.mp4,mymilliemoon,video
826,0,0,0,0,C8XyNnyv-oF_2024-06-18_21-14-49_UTC.mp4,mymilliemoon,video
323,0,0,0,0,C_wHWYvyrZy_2024-09-10_21-31-25_UTC_1.mp4,mymilliemoon,video
735,13,0,11,144,C379j90r-IJ_2024-02-29_15-53-11_UTC.mp4,mymilliemoon,video
346,0,0,0,0,DBRrUMBySnN_2024-10-18_18-53-26_UTC.mp4,mymilliemoon,video
923,10,0,8,28,C9FjL_nx-fg_2024-07-06_15-45-34_UTC.mp4,mymilliemoon,video
