number_of_frames,is_blinking,is_right,is_left,is_center,file_name,brand_name,media_type
1,0,0,0,0,C-qWekER-UE_2024-08-14_19-18-29_UTC.jpg,pampersus,image
1,1,0,0,1,C8pDqmSOnDJ_2024-06-25_14-10-34_UTC_1.jpg,pampersus,image
1,0,0,0,0,DAmPXTRvGLk_2024-10-01_22-00-00_UTC_1.jpg,pampersus,image
1,0,0,0,0,C8xbXsPhjyU_2024-06-28_20-12-26_UTC.jpg,pampersus,image
1,0,0,0,1,C8w4lHKAYxC_2024-06-28_15-12-12_UTC_1.jpg,pampersus,image
1,0,0,0,0,C6hDjz_g82H_2024-05-03_18-35-10_UTC.jpg,pampersus,image
1,0,0,0,0,C1kxjnBLbZI_2024-01-01_22-35-03_UTC_2.jpg,pampersus,image
1,1,0,0,1,C3TTHtouoR4_2024-02-13_20-51-01_UTC.jpg,pampersus,image
1,0,0,0,0,C7g__78RCCw_2024-05-28_14-33-40_UTC_1.jpg,pampersus,image
1,0,0,0,0,Cz8bipmghft_2023-11-22_10-09-29_UTC_1.jpg,pampersus,image
1,0,0,0,1,C7kmStouRTx_2024-05-30_00-05-47_UTC.jpg,pampersus,image
1,0,0,0,0,C-8ZINFJTN0_2024-08-21_19-27-10_UTC_1.jpg,pampersus,image
1,0,0,0,1,C9U9cauO3R8_2024-07-12_15-25-34_UTC_1.jpg,pampersus,image
1,0,0,0,0,C7wpAg-OpIc_2024-06-03_16-24-28_UTC_1.jpg,pampersus,image
1,0,0,0,1,DCCfgDJx_Fo_2024-11-06_17-59-25_UTC.jpg,pampersus,image
1,1,0,1,0,C7w9aDCOQUd_2024-06-03_19-17-51_UTC.jpg,pampersus,image
1,0,0,1,0,DBCH6AsSoZA_2024-10-12_17-57-19_UTC_1.jpg,pampersus,image
1,0,0,0,0,C8rgy4rgyly_2024-06-26_13-04-39_UTC_1.jpg,pampersus,image
1,0,0,0,0,C8pP_T9Rtas_2024-06-25_15-58-56_UTC_1.jpg,pampersus,image
1,0,0,0,0,C7kYDHHMM4Z_2024-05-29_22-02-42_UTC_1.jpg,pampersus,image
1,1,0,1,0,C8udESnRVSU_2024-06-27_16-30-03_UTC.jpg,pampersus,image
1,0,0,1,0,DAlxuF7P_WK_2024-10-01_17-42-51_UTC.jpg,pampersus,image
1,0,0,0,0,C2-naD3vRx6_2024-02-05_19-58-01_UTC_3.jpg,pampersus,image
1,0,0,0,0,C-EXfNpsxq6_2024-07-31_01-19-59_UTC.jpg,pampersus,image
1,0,0,0,0,C_txe9fshvU_2024-09-09_23-43-17_UTC.jpg,pampersus,image
1,1,0,1,0,C_34z4juj2N_2024-09-13_22-04-35_UTC_1.jpg,pampersus,image
1,1,0,1,0,C65KuSLsHLH_2024-05-13_03-16-44_UTC_3.jpg,pampersus,image
1,0,0,1,0,C-D4Wz-Sx8e_2024-07-30_20-42-05_UTC_3.jpg,pampersus,image
1,0,0,1,0,C7SaJYMvtDP_2024-05-22_22-33-31_UTC.jpg,pampersus,image
