number_of_frames,is_blinking,is_right,is_left,is_center,file_name,brand_name,media_type
1,0,0,0,0,DA_fPSDP2oW_2024-10-11_17-19-49_UTC_7.jpg,rascalsbaby,image
1,0,0,0,0,DAqqbKCvxPG_2024-10-03_15-13-30_UTC_2.jpg,rascalsbaby,image
1,0,0,0,0,C-ajqqOsTWb_2024-08-08_16-09-12_UTC_1.jpg,rascalsbaby,image
1,0,0,0,0,DA_fPSDP2oW_2024-10-11_17-19-49_UTC_4.jpg,rascalsbaby,image
1,1,0,1,0,DAMUZDXyK5B_2024-09-21_20-23-46_UTC_8.jpg,rascalsbaby,image
1,0,0,0,0,DA_fPSDP2oW_2024-10-11_17-19-49_UTC_6.jpg,rascalsbaby,image
1,0,0,0,0,C_Qsbf6gRso_2024-08-29_16-39-45_UTC_1.jpg,rascalsbaby,image
1,0,0,0,0,DAMUZDXyK5B_2024-09-21_20-23-46_UTC_4.jpg,rascalsbaby,image
1,0,0,0,0,DA_fPSDP2oW_2024-10-11_17-19-49_UTC_3.jpg,rascalsbaby,image
1,0,0,0,0,DAMUZDXyK5B_2024-09-21_20-23-46_UTC_3.jpg,rascalsbaby,image
1,0,0,0,0,C-TNI3DybX3_2024-08-05_19-34-50_UTC.jpg,rascalsbaby,image
1,0,0,1,0,DAZnhjpy2uy_2024-09-27_00-21-05_UTC_3.jpg,rascalsbaby,image
1,0,0,0,0,DARulbQMumm_2024-09-23_22-50-33_UTC_1.jpg,rascalsbaby,image
1,0,0,1,0,DAZnhjpy2uy_2024-09-27_00-21-05_UTC_2.jpg,rascalsbaby,image
1,0,0,0,0,DAMUZDXyK5B_2024-09-21_20-23-46_UTC_2.jpg,rascalsbaby,image
1,0,0,1,0,DA_fPSDP2oW_2024-10-11_17-19-49_UTC_9.jpg,rascalsbaby,image
1,0,0,0,0,DCPLAC9PGME_2024-11-11_16-02-46_UTC_1.jpg,rascalsbaby,image
1,0,0,1,0,DAqqbKCvxPG_2024-10-03_15-13-30_UTC_3.jpg,rascalsbaby,image
1,0,0,0,0,DBghIWMxwk3_2024-10-24_13-12-05_UTC.jpg,rascalsbaby,image
1,0,0,0,0,C-n068VSpzb_2024-08-13_19-45-28_UTC_1.jpg,rascalsbaby,image
1,0,0,1,0,DAMUZDXyK5B_2024-09-21_20-23-46_UTC_7.jpg,rascalsbaby,image
1,0,0,0,0,DA_fPSDP2oW_2024-10-11_17-19-49_UTC_2.jpg,rascalsbaby,image
1,0,0,1,0,DAZnhjpy2uy_2024-09-27_00-21-05_UTC_1.jpg,rascalsbaby,image
1,0,0,0,0,C-2_jPcpIiF_2024-08-19_17-09-21_UTC_1.jpg,rascalsbaby,image
1,0,0,0,0,DAMUZDXyK5B_2024-09-21_20-23-46_UTC_1.jpg,rascalsbaby,image
1,0,0,0,0,DAMUZDXyK5B_2024-09-21_20-23-46_UTC_5.jpg,rascalsbaby,image
1,0,0,0,0,DAMUZDXyK5B_2024-09-21_20-23-46_UTC_6.jpg,rascalsbaby,image
1,0,0,0,1,DAqqbKCvxPG_2024-10-03_15-13-30_UTC_1.jpg,rascalsbaby,image
1,0,0,0,0,DA_fPSDP2oW_2024-10-11_17-19-49_UTC_1.jpg,rascalsbaby,image
1,0,0,1,0,DAZnhjpy2uy_2024-09-27_00-21-05_UTC_6.jpg,rascalsbaby,image
1,1,0,0,1,C_wGKhSyaeC_2024-09-10_21-24-38_UTC.jpg,rascalsbaby,image
1,0,0,1,0,DAZnhjpy2uy_2024-09-27_00-21-05_UTC_4.jpg,rascalsbaby,image
1,0,0,1,0,DA_fPSDP2oW_2024-10-11_17-19-49_UTC_5.jpg,rascalsbaby,image
1,0,0,0,0,DAZnhjpy2uy_2024-09-27_00-21-05_UTC_5.jpg,rascalsbaby,image
1,0,0,0,0,DA_fPSDP2oW_2024-10-11_17-19-49_UTC_8.jpg,rascalsbaby,image
1,1,0,0,1,C-RAm4us5PJ_2024-08-04_23-07-09_UTC.jpg,rascalsbaby,image
409,0,0,0,16,DCPLAC9PGME_2024-11-11_16-02-46_UTC.mp4,rascalsbaby,video
327,2,0,30,4,C_Qsbf6gRso_2024-08-29_16-39-45_UTC.mp4,rascalsbaby,video
397,11,0,37,14,DBghIWMxwk3_2024-10-24_13-12-05_UTC_1.mp4,rascalsbaby,video
470,60,0,72,35,C-RAm4us5PJ_2024-08-04_23-07-09_UTC_1.mp4,rascalsbaby,video
394,12,0,25,0,C-n068VSpzb_2024-08-13_19-45-28_UTC.mp4,rascalsbaby,video
303,2,0,12,0,C_wGKhSyaeC_2024-09-10_21-24-38_UTC_1.mp4,rascalsbaby,video
179,1,0,3,0,C-ajqqOsTWb_2024-08-08_16-09-12_UTC.mp4,rascalsbaby,video
446,0,0,0,0,DARulbQMumm_2024-09-23_22-50-33_UTC.mp4,rascalsbaby,video
174,7,0,7,4,C-2_jPcpIiF_2024-08-19_17-09-21_UTC.mp4,rascalsbaby,video
260,0,0,0,0,C-TNI3DybX3_2024-08-05_19-34-50_UTC_1.mp4,rascalsbaby,video
