number_of_frames,is_blinking,is_right,is_left,is_center,file_name,brand_name,media_type
1,1,0,1,0,DBMMf7pvcbR_2024-10-16_15-50-47_UTC.jpg,theninjamas,image
1,0,0,1,0,DBbszl6RGAG_2024-10-22_16-18-05_UTC.jpg,theninjamas,image
1,0,0,0,1,C84eYppJ9BL_2024-07-01_13-55-02_UTC.jpg,theninjamas,image
1,1,0,1,0,DBZadHsPgLS_2024-10-21_19-00-37_UTC.jpg,theninjamas,image
1,0,0,0,0,C8NzOTEvIz0_2024-06-15_00-15-08_UTC_1.jpg,theninjamas,image
1,0,0,0,1,DBZcfWGSbJo_2024-10-21_19-18-01_UTC_1.jpg,theninjamas,image
1,0,0,1,0,DBZyJxJSi7B_2024-10-21_22-47-25_UTC.jpg,theninjamas,image
1,1,0,0,1,DBaWN8rp6tg_2024-10-22_03-41-44_UTC_1.jpg,theninjamas,image
1,0,0,0,0,C77ghArhJCK_2024-06-07_21-38-12_UTC.jpg,theninjamas,image
1,0,0,0,0,C8LTlFYvKt2_2024-06-14_00-53-42_UTC.jpg,theninjamas,image
1,0,0,0,0,C82l51EP5p-_2024-06-30_20-21-06_UTC_1.jpg,theninjamas,image
1,0,0,0,0,C8z8C6HuHxB_2024-06-29_19-35-57_UTC_1.jpg,theninjamas,image
1,0,0,1,0,DBQ5OM6uEQ1_2024-10-18_11-37-03_UTC.jpg,theninjamas,image
1,0,0,1,0,C7zzSp4vDK2_2024-06-04_21-48-22_UTC_1.jpg,theninjamas,image
854,58,0,82,0,C8LTlFYvKt2_2024-06-14_00-53-42_UTC_1.mp4,theninjamas,video
894,195,0,281,14,DBbszl6RGAG_2024-10-22_16-18-05_UTC_1.mp4,theninjamas,video
1149,15,0,66,334,DBQ5OM6uEQ1_2024-10-18_11-37-03_UTC_1.mp4,theninjamas,video
857,0,0,0,0,C8NzOTEvIz0_2024-06-15_00-15-08_UTC.mp4,theninjamas,video
834,15,0,33,3,C7zzSp4vDK2_2024-06-04_21-48-22_UTC.mp4,theninjamas,video
1255,18,0,30,1,DBZyJxJSi7B_2024-10-21_22-47-25_UTC_1.mp4,theninjamas,video
1171,170,0,489,271,DBZadHsPgLS_2024-10-21_19-00-37_UTC_1.mp4,theninjamas,video
1339,57,1,35,744,C82l51EP5p-_2024-06-30_20-21-06_UTC.mp4,theninjamas,video
1063,41,0,86,199,DBZcfWGSbJo_2024-10-21_19-18-01_UTC.mp4,theninjamas,video
1018,370,0,486,0,DBaWN8rp6tg_2024-10-22_03-41-44_UTC.mp4,theninjamas,video
1550,200,1,1273,150,C84eYppJ9BL_2024-07-01_13-55-02_UTC_1.mp4,theninjamas,video
1192,466,0,714,150,DBMMf7pvcbR_2024-10-16_15-50-47_UTC_1.mp4,theninjamas,video
574,0,0,0,0,C77ghArhJCK_2024-06-07_21-38-12_UTC_1.mp4,theninjamas,video
1019,79,0,162,13,C8z8C6HuHxB_2024-06-29_19-35-57_UTC.mp4,theninjamas,video
