path,text,BASIC_SOUNDS,HESITATION_WORDS,VERBAL_CRUTCHES,REPETITIVE_STARTS,FILLED_PAUSES,DISCOURSE_MARKERS,PERSONAL_PRONOUNS,OPINION_INDICATORS,EMOTION_WORDS,JUDGMENT_ADJECTIVES,QUALIFIERS_HEDGING,COMMON_PHRASES,OPINION_PHRASES,SELF_DISCLOSURES,HEALTH,FINANCES,RELATIONSHIPS,FAMILY,LIMITED_AVAILABILITY,EXCLUSIVITY,TIME_SENSITIVE,LIMITED_TIME,EXCLUSIVE_DISCOUNT,URGENCY_PROMOTION,OTHERS,SELLING_FAST,HARD_WORK,EXCLUSIVE_FOR_FOLLOWERS,GENEROSITY,APPRECIATION,NATURAL_FIT,LIFESTYLE_IMPROVEMENT,CONTINUATION,GOALS,DURATION,UNIQUE_CODE,SHARING_CODE,HONESTY,CONTRAST,PROS,CONS,ADMISSION,UNCERTAINTY,FIRST_PERSON_QUESTIONS,GENERAL_AUDIENCE_QUESTIONS,POV,UNBOXING,GRWM,RESTOCKING,DAY_IN_MY_LIFE_PATTERNS,DUPE,video_duration,end_first_segment,PG_BRAND,COTERIE_BRAND,HEALTHYBABY_BRAND,HONEST_BRAND,HUGGIES_BRAND,KUDOSTOBABY_BRAND,LUVS_BRAND,MYMILLIEMOON_BRAND,PAMPERSUS_BRAND,RASCALSBABY_BRAND,THENINJAMAS_BRAND,GENERAL_HOOK,NEGATIVE_HOOK,brand_counts,BRAND_TS,integration_in_first_10_seconds,integration_in_first_half_video,integration_duration,int_between_90_240,integration_ts,narrative_changes,brand_as_sponsor
results/coterie/C-5_QPIyNVK_2024-08-20_21-17-52_UTC," I just woke my baby up from a four hour nap. So obviously she needs some snuggles and then we're going to change her diaper. We've been using the diaper by Coterie and oh my heck, the softness is like cashmere. It absorbs so dang good. Plus they use clean ingredients, which means reduced skin irritation, which is so important for my eczema prone baby.",True,True,False,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,18.74,2.42,False,False,False,False,False,False,False,False,False,False,False,False,False,1,7.82,1,0,0.0,0,"(0, 0)",1,0
results/coterie/C-DXZgbOkpL_2024-07-30_15-54-25_UTC_1, Thank you.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.6,29.98,False,False,False,False,False,False,False,False,False,False,False,,,0,0.0,0,0,0.0,0,"(0, 0)",0,0
results/coterie/C-ENTmNu4LL_2024-07-30_23-47-31_UTC_1, Thank you.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.59,29.98,False,False,False,False,False,False,False,False,False,False,False,,,0,0.0,0,0,0.0,0,"(0, 0)",0,0
results/coterie/C-Nbj5Ss_kr_2024-08-03_13-43-16_UTC_1, Thank you. Thank you.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,31.02,29.98,False,False,False,False,False,False,False,False,False,False,False,,,0,0.0,0,0,0.0,0,"(0, 0)",0,0
results/coterie/C-V6tW3u8fR_2024-08-06_20-54-44_UTC_1, Hey! Hey! Hey! Hey! Hey!,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15.48,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.0,0,0,0.0,0,"(0, 0)",0,0
results/coterie/C-YbFlAS_Qo_2024-08-07_20-11-12_UTC, spend a weekend morning with us this morning we went to our local farmers market for some goodies for brunch we wanted to make our latest obsession which is some sourdough french toast starting solid the santino has definitely been all the things at first anxiety inducing but then fun and also always a mess you just need a whole lot of patience a cleaning crew close by ours is shila and jitsu of course and the new coterie soft wipe if you know me as a mom you know that i'm a coterie wipe fanatic and now they have their new soft wipe which are also paraben free fragrance free and clean and they're great for messes like this because they're actually moisturizing for the skin after brunch i nursed santino and that was our morning,False,True,True,True,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,36.82,4.48,False,False,False,False,False,False,False,False,False,False,False,False,False,2,21.63,0,0,0.0,0,"(0, 0)",1,0
results/coterie/C-sMKNjuCDh_2024-08-15_12-27-50_UTC," Oh, I wasn't sad. I just needed a...",True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.94,1.5,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.0,0,0,0.0,0,"(0, 0)",1,0
results/coterie/C13K-t2oUAQ_2024-01-09_02-03-32_UTC_4_1, Wow!,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.22,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.0,0,0,0.0,0,"(0, 0)",0,0
results/coterie/C1zxtS8vCE7_2024-01-07_18-26-55_UTC_1," People see me but they just don't know Come on baby, let the good time roll I'm fresh off the block, the hustler just returned Hadibov these niggas, now they call me Big Worm I'm the shit according to the streets The town without gift will make Memphis bleak But I don't toss up rock signs and diamonds But I might toss an heavy head hoe like I'm missing Come on baby, let the good time roll Let's do it",False,True,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,32.16,2.86,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.0,0,0,0.0,0,"(0, 0)",1,0
results/coterie/C2FtxwBRDzg_2024-01-14_17-39-06_UTC_1, Will we stay the same? Do you know what you're doing?,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.17,3.9,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.0,0,0,0.0,0,"(0, 0)",1,0
