created,type,post_id,text_caption,thumbnail,link,likes,comments,views,hashtags,mentions,text_mentions,brand_affinity,is_removed,sponsor_username,username,user_url,user_followers,user_engagement,country,search_type,hashtag_ad_count,standalone_ad_count,most_common,words_count,paid_partnership,KEYWORDS_CAPTION,has_emoji,sponsor_integration_in_caption,CTA_BUY_caption,CTA_GIFT_caption,CTA_READ_caption,CTA_SIGN_UP_caption,CTA_FIND_OUT_caption,CTA_LEARN_caption,CTA_SUBSCRIBE_caption,CTA_SHARE_caption,CTA_DOWNLOAD_caption,CTA_VISIT_caption,CTA_CONTACT_caption,CTA_PARTICIPATE_caption,path,text_transcription,CTA_BUY_transcription,CTA_GIFT_transcription,CTA_READ_transcription,CTA_SIGN_UP_transcription,CTA_FIND_OUT_transcription,CTA_LEARN_transcription,CTA_SUBSCRIBE_transcription,CTA_SHARE_transcription,CTA_DOWNLOAD_transcription,CTA_VISIT_transcription,CTA_CONTACT_transcription,CTA_PARTICIPATE_transcription,CTA_GIFT_trans_capt,CTA_VISIT_trans_capt,CTA_CONTACT_trans_capt,CTA_SIGN_UP_trans_capt,CTA_BUY_trans_capt,CTA_SUBSCRIBE_trans_capt,CTA_DOWNLOAD_trans_capt,CTA_SHARE_trans_capt,CTA_FIND_OUT_trans_capt,CTA_READ_trans_capt,CTA_PARTICIPATE_trans_capt,CTA_LEARN_trans_capt,text_trans_capt,path_caption,path_transcription,text,CTA_BUY,CTA_GIFT,CTA_READ,CTA_SIGN_UP,CTA_FIND_OUT,CTA_LEARN,CTA_SUBSCRIBE,CTA_SHARE,CTA_DOWNLOAD,CTA_VISIT,CTA_CONTACT,CTA_PARTICIPATE,path_trans_capt
2024-08-07 20:11:12,video,C-YbFlAS_Qo,"Farmers market mornings and messy brunch, can't do mornings without @coterie's new soft wipe",https://imgp.sptds.icu/v2?mb0KwpL92uYofJiSjDn1%2F6peL1lBwv3s%2BUvShHERlDZYmZ4eGQ1lFBg%2BQ9O%2FU0LcPq9mPUxrCTTZuhra9x5oUhuj5%2B4fV7tP3g15n9%2BkQtAKkzmP3w9Gbm1eACx00iLWgNlJUwVYqIiahjW32e%2BqWA%3D%3D,https://www.instagram.com/p/C-YbFlAS_Qo/,3,200,0,,coterie,coterie,,False,coterie,alexafuelednaturally,https://www.instagram.com/alexafuelednaturally,323467,4757,United States,no_hashtag,0,0,equal,14,1,True,False,0.8571428571428571,False,False,False,False,False,False,False,False,False,False,False,False,results/coterie/C-YbFlAS_Qo_2024-08-07_20-11-12_UTC.wav, spend a weekend morning with us this morning we went to our local farmers market for some goodies for brunch we wanted to make our latest obsession which is some sourdough french toast starting solid the santino has definitely been all the things at first anxiety inducing but then fun and also always a mess you just need a whole lot of patience a cleaning crew close by ours is shila and jitsu of course and the new coterie soft wipe if you know me as a mom you know that i'm a coterie wipe fanatic and now they have their new soft wipe which are also paraben free fragrance free and clean and they're great for messes like this because they're actually moisturizing for the skin after brunch i nursed santino and that was our morning,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,
2024-10-18 19:54:52,video,DBRyRfaRNVn,It’s crazy that before becoming a parent I was able to just go about life not thinking about much more than myself. Day to day I didn’t have anyone I needed to rush home to urgently. I didn’t feel a sense of guilt for not constantly being around. Now even if I leave for an hour or 30 minutes there is this deep pull to rush home. I forget what it feels like to not feel like I’m in a rush. Mom guilt is real and I truly thought I wouldn’t have it. That was silly of me. And yet I still wouldn’t trade it for the world. The best reason to rush. Thank you @coterie for giving me the opportunity to share with the hope of making other parents not feel so alone. ❤️,https://imgp.sptds.icu/v2?mb0KwpL92uYofJiSjDn1%2F6peL1lBwv3s%2BUvShHERlDZYmZ4eGQ1lFBg%2BQ9O%2FU0Lc72jM06Egyo0pXwdK%2BR8obma6rWZH%2Fafg9idRxK360s7Pz9QGbAjVbTZsUkcIu4svXt%2FYzeksBPYLUknr5ild2A%3D%3D,https://www.instagram.com/p/DBRyRfaRNVn/,5234,64,-1,,coterie,coterie,,False,coterie,coterie,https://www.instagram.com/coterie,121488,646,United States,no_hashtag,0,0,equal,135,1,False,True,0.8666666666666667,False,False,False,False,False,False,False,False,False,False,False,False,results/coterie/DBRyRfaRNVn_2024-10-18_19-54-52_UTC.wav, Thank you. Thank you.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,
2024-05-07 13:38:16,video,C6q1DRvOxec,"#AD Say goodbye 👋 to diaper struggles! With Coterie’s 2-in-1 design, our little guy can practice pulling up and down like big kid undies, thanks to the resealable waistband that makes changes a breeze! 

For Daddy and Papa, it means potty training is a little more stress free. 😅

Clink the link in our bio and use code DOUBLEDAD20 for 20% off your minimum purchass of $40!

#coteriepatent #coterie #coteriepartner #diaper #toddlerlife #parenting #parenthood @coterie",https://imgp.sptds.icu/v2?mb0KwpL92uYofJiSjDn1%2F6peL1lBwv3s%2BUvShHERlDZYmZ4eGQ1lFBg%2BQ9O%2FU0LcpNK2HhM2RhBRKWDcO6%2FzikSSvpUrlW%2BarMzMmb%2FGxMEgEcOLNAm3lkaBrVmKGlPLgNlJUwVYqIiahjW32e%2BqWA%3D%3D,https://www.instagram.com/p/C6q1DRvOxec/,3,1,0,"coteriepartner,ad,coterie,parenthood,toddlerlife,coteriepatent,diaper,parenting",coterie,coterie,,False,coterie,doublethedadjokes,https://www.instagram.com/doublethedadjokes,95867,2050,United States,no_hashtag,0,1,standalone_ad,75,0,False,True,0.92,False,False,False,False,False,False,False,False,False,False,False,False,results/coterie/C6q1DRvOxec_2024-05-07_13-38-16_UTC_1.wav, Thank you. Thank you.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,
2024-09-11 16:59:14,image,C_yNCVNpQwE,"@coterie is a game changer!! Choosing The Diaper was a no brainer for us after learning that they’re made with the cleanest materials (no yucky irritants). Choosing to STAY with Coterie was due to how truly absorbent and soft they are (up to 70% more absorbent than leading diaper brands and literally feels like cashmere!!). We love the fact that it doubles as a night diaper… so no worrying about purchasing a separate diaper for nighttime.

Comment “diaper” to get the direct link, and use code WILSON20 to save! 

#coterieparent",https://imgp.sptds.icu/v2?mb0KwpL92uYofJiSjDn1%2F6peL1lBwv3s%2BUvShHERlDZI4wvklybwrgMzqo%2BtgCsh%2FY8WhP3RziWyTCSJpsxW0Q3I58qSVCnEiwqHPUVC1Symh90ghQpx%2F%2BQlmPGDrPRyXt%2FYzeksBPYLUknr5ild2A%3D%3D,https://www.instagram.com/p/C_yNCVNpQwE/,1411,42,0,coterieparent,coterie,coterie,,False,coterie,lifewiththewilsonfam,https://www.instagram.com/lifewiththewilsonfam,70499,1068,United States,no_hashtag,0,0,equal,90,1,True,False,0.022222222222222223,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,
2024-04-16 13:57:06,video,C50yXdfrqN9,"I recently switched to Coterie diapers because they are free of fragrance and other irritants, and are really soft on the baby’s skin. They are also known to minimize leaks and blowouts, and help your baby sleep longer at night. Have you tried them before? Let me know what you think in the comments below! 

If you want to try them out you can use my code “MONICA20” for 20% off your first order ✨

Here is the full list of all the items I packed in our newborn’s diaper bag. Most of them are in my Amazon storefront under “newborn diaper bag”:

1. @coterie diapers 
2. @coterie wipes 
3. changing pad
4. nursing cover
5. swaddle blanket 
6. burp cloths x 2 
7. bibs x 2 
8. change of clothes
9. hat
10. booties 
11. socks 
12. portable sound machine 
13. disposable diaper bags 
14. @mypaume hand sanitizer 
15. @mypaume lotion 
16. stain remover 
17. chapstick 
18. vaseline 
19. disposable breast pads 
20. snacks for me 
21. @ninnipacifier pacifier
22. pacifier clip
23. pacifier holder 

That’s pretty much it, let me know if I’m forgetting anything!
 
#newborn #diaperbag #coterieparent #ad #newbornmusthaves",https://imgp.sptds.icu/v2?mb0KwpL92uYofJiSjDn1%2F6peL1lBwv3s%2BUvShHERlDZYmZ4eGQ1lFBg%2BQ9O%2FU0Lc4ofL1QJPiUxwRWRCWP03npikoo%2FRIMazI8rV1d0YVXajqgMlojLtANKAOQsZvEmLgNlJUwVYqIiahjW32e%2BqWA%3D%3D,https://www.instagram.com/p/C50yXdfrqN9/,3,35,0,"diaperbag,ad,newbornmusthaves,coterieparent,newborn","coterie,mypaume,ninnipacifier","coterie,mypaume,ninnipacifier",,False,coterie,__monicakim,https://www.instagram.com/__monicakim,55355,212,United States,no_hashtag,0,1,standalone_ad,192,0,True,True,0.5520833333333334,False,False,False,False,False,False,False,False,False,False,False,False,results/coterie/C50yXdfrqN9_2024-04-16_13-57-06_UTC_1.wav," Here is everything I pack in my diaper bag for a newborn as a third time mom. Starting off with coterie diapers. I recently switched to those because they contain less irritants than the common drugstore brands and they feel super soft on our baby skin. I also use their wipes. We have a changing pad, a nursing cover, and a swaddle blanket just in case. A couple of burp cloths and bibs for spit up. A change of clothes with a cute little hat. I love these booties and some socks. I love this portable sound machine by Hatch. I also use a small pouch and pack a few things for myself like a hand sanitizer, a lotion stain remover. Just some things to have on hand with me. I also make sure to always bring a pacifier. I just have it attached to the side of the diaper bag.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,
2024-07-22 17:33:12,video,C9u8T2oOucZ,"Absolutely loving @Coterie diapers for my little one! 🌟 These diapers offer amazing leak protection, incredible absorbency, and super soft comfort. Plus, the wetness indicator and umbilical cord notch make them perfect for new moms. 💖 Use my code CHELSALANA20 for 20% off your purchase! #CoterieDiapers #Ad #NewMomEssentials #BabyCare #MomLife",https://imgp.sptds.icu/v2?mb0KwpL92uYofJiSjDn1%2F6peL1lBwv3s%2BUvShHERlDZYmZ4eGQ1lFBg%2BQ9O%2FU0Lc9P2RWGbSV3UWIDLjq%2BQUstvj5kLNFRH7BxmhF0Hx6iVifCsg9%2Bhjue5K%2FJ5ZuVuCgNlJUwVYqIiahjW32e%2BqWA%3D%3D,https://www.instagram.com/p/C9u8T2oOucZ/,757,5,0,"coteriediapers,ad,newmomessentials,momlife,babycare",coterie,coterie,,False,coterie,chelseaalanaa,https://www.instagram.com/chelseaalanaa,49306,941,United States,no_hashtag,0,1,standalone_ad,50,0,True,True,0.0,False,False,False,False,False,False,False,False,False,False,False,False,results/coterie/C9u8T2oOucZ_2024-07-22_17-33-12_UTC_1.wav," As a new mom, sometimes it can feel difficult feeling like you're making the right decision. But when it came to Coterie Diapers, it was a no-brainer. These diapers give up to 12 hours of leak protection, perfect for those nights of uninterrupted sleep. They are fast absorbency, and Coterie Diapers keeps my baby dry and comfortable all day. For the new moms, don't worry. The newborn size has a special umbilical cord notch to keep your baby's tummy nice and safe. Happy diapering. Happy diapering.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,
2024-07-30 15:54:25,video,C-DXZgbOkpL,"Moms, meet the latest addition to your beach day checklist: @coterie swim diapers ✅ 
Soft, breathable and blowout-proof, it’s a mom win and a baby fashion statement all in one. Here’s to making waves, not messes! 🌊👶 

Head to the link in bio to use code TLMNSUMMER24 for 20% off your order of over $75 (new customers only).

#coterie 
#thelocalmomsnetwork",https://imgp.sptds.icu/v2?mb0KwpL92uYofJiSjDn1%2F6peL1lBwv3s%2BUvShHERlDZYmZ4eGQ1lFBg%2BQ9O%2FU0Lcyn8njX0vdiNHFKLanxx5gX9to2iL0UnP9jAlUkrmDVSv9kbvXNdcFyfVBRUglYI1gNlJUwVYqIiahjW32e%2BqWA%3D%3D,https://www.instagram.com/p/C-DXZgbOkpL/,32,4,0,"coterie,thelocalmomsnetwork",coterie,coterie,,False,coterie,thelocalmomsnetwork,https://www.instagram.com/thelocalmomsnetwork,49011,747,United States,no_hashtag,0,0,equal,60,1,True,True,0.2,False,False,False,False,False,False,False,False,False,False,False,False,results/coterie/C-DXZgbOkpL_2024-07-30_15-54-25_UTC_1.wav, Thank you.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,
2024-08-15 12:27:50,video,C-sMKNjuCDh,"It’s August, which means we’ve been spending every possible minute in or near the water! And the most essential item in my beach bag? The Swimsuit by @coterie! I don’t exaggerate when I say, this is the only swim diaper I’ve ever used that actually works. Designed with every kind of water activity in mind, there’s a reason it’s been selling out: 

✨Pull-on design with a 360-stretch waistband made of ultra-soft, breathable material to keep skin cool and comfortable on summer days
✨Leak-guard leg cuffs are reinforced with elastic and interior side barriers to ensure a secure fit and prevent blowouts and floaters
✨Compact, plant-based core with a no-swell design won’t balloon or sag in water
✨Features chic, artist-illustrated prints made with skin-safe inks

Head to the link in bio ☝️ and use code TLMNSUMMER24 for 20% off your order of over $75 (new customers only).

REPOST: @hamptonmoms

#thelocalmomsnetwork
#coterie
#swimdiaper",https://imgp.sptds.icu/v2?mb0KwpL92uYofJiSjDn1%2F6peL1lBwv3s%2BUvShHERlDZYmZ4eGQ1lFBg%2BQ9O%2FU0Lc3xd1mffGBmyASG7SuNIhWLiYsqiV1fsyVrh9blj3eC%2BBc2kEIRlt9MNH%2F4ne26uUXt%2FYzeksBPYLUknr5ild2A%3D%3D,https://www.instagram.com/p/C-sMKNjuCDh/,59,1,0,"swimdiaper,coterie,thelocalmomsnetwork","coterie,hamptonmoms","coterie,hamptonmoms",,False,coterie,thelocalmomsnetwork,https://www.instagram.com/thelocalmomsnetwork,49011,747,United States,no_hashtag,0,0,equal,151,1,True,True,0.19205298013245034,False,False,False,False,False,False,False,True,False,False,False,False,results/coterie/C-sMKNjuCDh_2024-08-15_12-27-50_UTC.wav," Oh, I wasn't sad. I just needed a...",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,
2024-02-14 04:57:46,video,C3UKnCJM20g,"Part 2 of my son’s nursery closet transformation! Now this is the satisfying part where every item serves its purpose and is in the perfect spot truly making this closet space fully functional.

All the products you see here are from @thecontainerstore! Don’t forget that all Elfa products are 30% off for just one more week (ends 2/19)! 

#thecontainerstore #thecontainerstoreambassador #closetmakeover #nurseryorganization #maximizeyourpotential #beforeandafter #diyhomeprojects #stayorganized #babyroomideas #storageideas 

nursery organization, nursery closet, closet makeover, elfa closet, baby room must haves, maximize your space",https://imgp.sptds.icu/v2?mb0KwpL92uYofJiSjDn1%2F6peL1lBwv3s%2BUvShHERlDaL9w3d%2Fk0qqt%2BGvryFmNhpyd8Qh5uGzVNU80SfaMVrHH838WwqP9Y1UQSJvtgSyyd2CJxB63xM%2BReCDOohLNymrOPQt%2BBH8xfdE2dL1avFgg%3D%3D,https://www.instagram.com/p/C3UKnCJM20g/,3,19,0,"nurseryorganization,storageideas,diyhomeprojects,thecontainerstore,stayorganized,babyroomideas,thecontainerstoreambassador,beforeandafter,maximizeyourpotential,closetmakeover","thecontainerstore,target,infantinobaby,gunamuna,mushie,melissaanddougtoys,carters,coterie",thecontainerstore,,False,thecontainerstore,sweetleeandco,https://www.instagram.com/sweetleeandco,42154,394,United States,no_hashtag,0,0,equal,83,1,False,False,0.5180722891566265,False,False,False,False,False,False,False,False,False,False,False,False,results/coterie/C3UKnCJM20g_2024-02-14_04-57-46_UTC_1.wav," Okay, here's part two of my son's nursery closet transformation. We picked up this over-the-door alpha rack. I don't know if you noticed, but we took out the closet sliding doors because at some point, I'd like to replace them with French doors, so this might end up going over the closet door in the future. Next came the fun part. We picked up some cute and spacious toy bins and beautiful and functional storage bins to organize diapers, outgrown clothes, toys, and books. Tell me you're adulting without telling me. And also, seeing all of this come together is just so satisfying. I just need to remind myself to do this more often in my life in general. Anyway, go check out the container store and see how alpha can transform your life. I mean, your space, especially while it's 30% off.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,
2024-05-14 15:46:19,video,C69FLl1A2qw,"BTS from our family pool day with @Coterie 💙 Their new product, The Swimsuit, is Shepherd approved! #ad",https://imgp.sptds.icu/v2?mb0KwpL92uYofJiSjDn1%2F6peL1lBwv3s%2BUvShHERlDZYmZ4eGQ1lFBg%2BQ9O%2FU0Lca5PHHMufNU0breMyVG3W1qLn8Fojn1OZYkg%2FGzXb%2FUMsRTADMY1VThp1WUQOUA9QgNlJUwVYqIiahjW32e%2BqWA%3D%3D,https://www.instagram.com/p/C69FLl1A2qw/,3,52,0,ad,"coterie,justinb00ne",coterie,,False,coterie,telshaanderson,https://www.instagram.com/telshaanderson,38423,2428,United States,no_hashtag,0,1,standalone_ad,18,0,False,True,0.0,False,False,False,False,False,False,False,False,False,False,False,False,results/coterie/C69FLl1A2qw_2024-05-14_15-46-19_UTC.wav, followed by building Blimp in泥 Limoаздant In cases of apartmentủ We'll die D our那,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,
