path,scenes,raw_scenes
results/mymilliemoon/DBPzDigtYKm_2024-10-18_01-20-00_UTC,"[(0.0, 4.333), (4.333, 6.367), (6.367, 8.167), (8.167, 11.6), (11.6, 13.633), (13.633, 17.4)]","[('00:00:00.000', '00:00:04.333'), ('00:00:04.333', '00:00:06.367'), ('00:00:06.367', '00:00:08.167'), ('00:00:08.167', '00:00:11.600'), ('00:00:11.600', '00:00:13.633'), ('00:00:13.633', '00:00:17.400')]"
results/mymilliemoon/C4dnb2iRGj__2024-03-13_17-27-32_UTC,"[(0.0, 1.933), (1.933, 3.3), (3.3, 4.633), (4.633, 6.167), (6.167, 9.833), (9.833, 19.833), (19.833, 25.067), (25.067, 27.233), (27.233, 29.0), (29.0, 30.8), (30.8, 34.167)]","[('00:00:00.000', '00:00:01.933'), ('00:00:01.933', '00:00:03.300'), ('00:00:03.300', '00:00:04.633'), ('00:00:04.633', '00:00:06.167'), ('00:00:06.167', '00:00:09.833'), ('00:00:09.833', '00:00:19.833'), ('00:00:19.833', '00:00:25.067'), ('00:00:25.067', '00:00:27.233'), ('00:00:27.233', '00:00:29.000'), ('00:00:29.000', '00:00:30.800'), ('00:00:30.800', '00:00:34.167')]"
results/mymilliemoon/C8XyNnyv-oF_2024-06-18_21-14-49_UTC,"[(0.0, 3.9), (3.9, 5.667), (5.667, 9.167), (9.167, 10.533), (10.533, 12.1), (12.1, 13.667), (13.667, 19.667), (19.667, 21.8), (21.8, 23.933), (23.933, 27.1), (27.1, 29.667), (29.667, 31.933), (31.933, 34.733), (34.733, 37.667), (37.667, 40.533), (40.533, 43.567), (43.567, 46.133), (46.133, 50.767), (50.767, 53.867), (53.867, 56.367), (56.367, 59.5), (59.5, 62.333), (62.333, 65.167), (65.167, 66.4), (66.4, 67.06700000000001), (67.06700000000001, 68.033), (68.033, 69.033), (69.033, 70.1), (70.1, 71.06700000000001), (71.06700000000001, 72.0), (72.0, 73.06700000000001), (73.06700000000001, 75.2), (75.2, 77.4), (77.4, 79.1), (79.1, 80.8), (80.8, 82.533)]","[('00:00:00.000', '00:00:03.900'), ('00:00:03.900', '00:00:05.667'), ('00:00:05.667', '00:00:09.167'), ('00:00:09.167', '00:00:10.533'), ('00:00:10.533', '00:00:12.100'), ('00:00:12.100', '00:00:13.667'), ('00:00:13.667', '00:00:19.667'), ('00:00:19.667', '00:00:21.800'), ('00:00:21.800', '00:00:23.933'), ('00:00:23.933', '00:00:27.100'), ('00:00:27.100', '00:00:29.667'), ('00:00:29.667', '00:00:31.933'), ('00:00:31.933', '00:00:34.733'), ('00:00:34.733', '00:00:37.667'), ('00:00:37.667', '00:00:40.533'), ('00:00:40.533', '00:00:43.567'), ('00:00:43.567', '00:00:46.133'), ('00:00:46.133', '00:00:50.767'), ('00:00:50.767', '00:00:53.867'), ('00:00:53.867', '00:00:56.367'), ('00:00:56.367', '00:00:59.500'), ('00:00:59.500', '00:01:02.333'), ('00:01:02.333', '00:01:05.167'), ('00:01:05.167', '00:01:06.400'), ('00:01:06.400', '00:01:07.067'), ('00:01:07.067', '00:01:08.033'), ('00:01:08.033', '00:01:09.033'), ('00:01:09.033', '00:01:10.100'), ('00:01:10.100', '00:01:11.067'), ('00:01:11.067', '00:01:12.000'), ('00:01:12.000', '00:01:13.067'), ('00:01:13.067', '00:01:15.200'), ('00:01:15.200', '00:01:17.400'), ('00:01:17.400', '00:01:19.100'), ('00:01:19.100', '00:01:20.800'), ('00:01:20.800', '00:01:22.533')]"
results/mymilliemoon/C_wHWYvyrZy_2024-09-10_21-31-25_UTC_1,"[(0.0, 2.333), (2.333, 4.367), (4.367, 6.133), (6.133, 7.267), (7.267, 9.6), (9.6, 11.5), (11.5, 13.267), (13.267, 15.0), (15.0, 16.267), (16.267, 18.0), (18.0, 21.633), (21.633, 24.267), (24.267, 25.6), (25.6, 30.233), (30.233, 32.267)]","[('00:00:00.000', '00:00:02.333'), ('00:00:02.333', '00:00:04.367'), ('00:00:04.367', '00:00:06.133'), ('00:00:06.133', '00:00:07.267'), ('00:00:07.267', '00:00:09.600'), ('00:00:09.600', '00:00:11.500'), ('00:00:11.500', '00:00:13.267'), ('00:00:13.267', '00:00:15.000'), ('00:00:15.000', '00:00:16.267'), ('00:00:16.267', '00:00:18.000'), ('00:00:18.000', '00:00:21.633'), ('00:00:21.633', '00:00:24.267'), ('00:00:24.267', '00:00:25.600'), ('00:00:25.600', '00:00:30.233'), ('00:00:30.233', '00:00:32.267')]"
results/mymilliemoon/C379j90r-IJ_2024-02-29_15-53-11_UTC,"[(0.0, 5.233), (5.233, 6.1), (6.1, 10.633), (10.633, 15.633), (15.633, 18.167), (18.167, 18.8), (18.8, 19.933), (19.933, 21.567), (21.567, 22.867), (22.867, 23.633), (23.633, 24.467), (24.467, 26.4), (26.4, 27.9), (27.9, 32.067), (32.067, 34.3), (34.3, 34.967), (34.967, 35.767), (35.767, 36.533), (36.533, 37.5), (37.5, 40.6), (40.6, 41.933), (41.933, 46.967), (46.967, 51.233), (51.233, 56.167), (56.167, 58.0), (58.0, 59.333), (59.333, 59.933), (59.933, 60.667), (60.667, 66.0), (66.0, 73.467)]","[('00:00:00.000', '00:00:05.233'), ('00:00:05.233', '00:00:06.100'), ('00:00:06.100', '00:00:10.633'), ('00:00:10.633', '00:00:15.633'), ('00:00:15.633', '00:00:18.167'), ('00:00:18.167', '00:00:18.800'), ('00:00:18.800', '00:00:19.933'), ('00:00:19.933', '00:00:21.567'), ('00:00:21.567', '00:00:22.867'), ('00:00:22.867', '00:00:23.633'), ('00:00:23.633', '00:00:24.467'), ('00:00:24.467', '00:00:26.400'), ('00:00:26.400', '00:00:27.900'), ('00:00:27.900', '00:00:32.067'), ('00:00:32.067', '00:00:34.300'), ('00:00:34.300', '00:00:34.967'), ('00:00:34.967', '00:00:35.767'), ('00:00:35.767', '00:00:36.533'), ('00:00:36.533', '00:00:37.500'), ('00:00:37.500', '00:00:40.600'), ('00:00:40.600', '00:00:41.933'), ('00:00:41.933', '00:00:46.967'), ('00:00:46.967', '00:00:51.233'), ('00:00:51.233', '00:00:56.167'), ('00:00:56.167', '00:00:58.000'), ('00:00:58.000', '00:00:59.333'), ('00:00:59.333', '00:00:59.933'), ('00:00:59.933', '00:01:00.667'), ('00:01:00.667', '00:01:06.000'), ('00:01:06.000', '00:01:13.467')]"
results/mymilliemoon/DBRrUMBySnN_2024-10-18_18-53-26_UTC,"[(0.0, 5.433), (5.433, 26.767), (26.767, 34.533)]","[('00:00:00.000', '00:00:05.433'), ('00:00:05.433', '00:00:26.767'), ('00:00:26.767', '00:00:34.533')]"
results/mymilliemoon/C9FjL_nx-fg_2024-07-06_15-45-34_UTC,"[(0.0, 8.017), (8.017, 25.174), (25.174, 27.133), (27.133, 28.366), (28.366, 29.309), (29.309, 30.361), (30.361, 31.304), (31.304, 32.356), (32.356, 40.917), (40.917, 44.0), (44.0, 56.116), (56.116, 58.147), (58.147, 59.453), (59.453, 60.541), (60.541, 61.448), (61.448, 62.464), (62.464, 62.935), (62.935, 66.925)]","[('00:00:00.000', '00:00:08.017'), ('00:00:08.017', '00:00:25.174'), ('00:00:25.174', '00:00:27.133'), ('00:00:27.133', '00:00:28.366'), ('00:00:28.366', '00:00:29.309'), ('00:00:29.309', '00:00:30.361'), ('00:00:30.361', '00:00:31.304'), ('00:00:31.304', '00:00:32.356'), ('00:00:32.356', '00:00:40.917'), ('00:00:40.917', '00:00:44.000'), ('00:00:44.000', '00:00:56.116'), ('00:00:56.116', '00:00:58.147'), ('00:00:58.147', '00:00:59.453'), ('00:00:59.453', '00:01:00.541'), ('00:01:00.541', '00:01:01.448'), ('00:01:01.448', '00:01:02.464'), ('00:01:02.464', '00:01:02.935'), ('00:01:02.935', '00:01:06.925')]"
results/honest/C_gC5QvvaXR_2024-09-04_15-58-14_UTC_1,"[(0.0, 0.6), (0.6, 1.033), (1.033, 1.5), (1.5, 2.033), (2.033, 2.5), (2.5, 3.0), (3.0, 3.9), (3.9, 5.2), (5.2, 5.8), (5.8, 6.3), (6.3, 6.9), (6.9, 7.733), (7.733, 8.2), (8.2, 9.5), (9.5, 10.2), (10.2, 10.9), (10.9, 11.4), (11.4, 13.1), (13.1, 13.9), (13.9, 14.5), (14.5, 15.0), (15.0, 15.5), (15.5, 16.2), (16.2, 16.8), (16.8, 17.533), (17.533, 18.6), (18.6, 19.1), (19.1, 19.6), (19.6, 20.1), (20.1, 20.6), (20.6, 21.1), (21.1, 21.7), (21.7, 22.2), (22.2, 22.7), (22.7, 23.2), (23.2, 23.9), (23.9, 24.4), (24.4, 24.9), (24.9, 25.4), (25.4, 25.9), (25.9, 26.4), (26.4, 26.9), (26.9, 28.9), (28.9, 29.4), (29.4, 29.9), (29.9, 30.4), (30.4, 30.9), (30.9, 31.6), (31.6, 32.3), (32.3, 32.8), (32.8, 33.5), (33.5, 34.0), (34.0, 34.6), (34.6, 35.5), (35.5, 36.2), (36.2, 36.8), (36.8, 37.4), (37.4, 37.9)]","[('00:00:00.000', '00:00:00.600'), ('00:00:00.600', '00:00:01.033'), ('00:00:01.033', '00:00:01.500'), ('00:00:01.500', '00:00:02.033'), ('00:00:02.033', '00:00:02.500'), ('00:00:02.500', '00:00:03.000'), ('00:00:03.000', '00:00:03.900'), ('00:00:03.900', '00:00:05.200'), ('00:00:05.200', '00:00:05.800'), ('00:00:05.800', '00:00:06.300'), ('00:00:06.300', '00:00:06.900'), ('00:00:06.900', '00:00:07.733'), ('00:00:07.733', '00:00:08.200'), ('00:00:08.200', '00:00:09.500'), ('00:00:09.500', '00:00:10.200'), ('00:00:10.200', '00:00:10.900'), ('00:00:10.900', '00:00:11.400'), ('00:00:11.400', '00:00:13.100'), ('00:00:13.100', '00:00:13.900'), ('00:00:13.900', '00:00:14.500'), ('00:00:14.500', '00:00:15.000'), ('00:00:15.000', '00:00:15.500'), ('00:00:15.500', '00:00:16.200'), ('00:00:16.200', '00:00:16.800'), ('00:00:16.800', '00:00:17.533'), ('00:00:17.533', '00:00:18.600'), ('00:00:18.600', '00:00:19.100'), ('00:00:19.100', '00:00:19.600'), ('00:00:19.600', '00:00:20.100'), ('00:00:20.100', '00:00:20.600'), ('00:00:20.600', '00:00:21.100'), ('00:00:21.100', '00:00:21.700'), ('00:00:21.700', '00:00:22.200'), ('00:00:22.200', '00:00:22.700'), ('00:00:22.700', '00:00:23.200'), ('00:00:23.200', '00:00:23.900'), ('00:00:23.900', '00:00:24.400'), ('00:00:24.400', '00:00:24.900'), ('00:00:24.900', '00:00:25.400'), ('00:00:25.400', '00:00:25.900'), ('00:00:25.900', '00:00:26.400'), ('00:00:26.400', '00:00:26.900'), ('00:00:26.900', '00:00:28.900'), ('00:00:28.900', '00:00:29.400'), ('00:00:29.400', '00:00:29.900'), ('00:00:29.900', '00:00:30.400'), ('00:00:30.400', '00:00:30.900'), ('00:00:30.900', '00:00:31.600'), ('00:00:31.600', '00:00:32.300'), ('00:00:32.300', '00:00:32.800'), ('00:00:32.800', '00:00:33.500'), ('00:00:33.500', '00:00:34.000'), ('00:00:34.000', '00:00:34.600'), ('00:00:34.600', '00:00:35.500'), ('00:00:35.500', '00:00:36.200'), ('00:00:36.200', '00:00:36.800'), ('00:00:36.800', '00:00:37.400'), ('00:00:37.400', '00:00:37.900')]"
results/honest/C6tnbX9L1fl_2024-05-08_15-37-02_UTC_1,"[(0.0, 3.433), (3.433, 8.5), (8.5, 10.333), (10.333, 11.0), (11.0, 12.2), (12.2, 13.2), (13.2, 14.533), (14.533, 15.767), (15.767, 17.7), (17.7, 19.633), (19.633, 20.633), (20.633, 23.467), (23.467, 24.167), (24.167, 25.6), (25.6, 26.933), (26.933, 28.767), (28.767, 29.733), (29.733, 30.767), (30.767, 31.767), (31.767, 33.4), (33.4, 34.767), (34.767, 36.2)]","[('00:00:00.000', '00:00:03.433'), ('00:00:03.433', '00:00:08.500'), ('00:00:08.500', '00:00:10.333'), ('00:00:10.333', '00:00:11.000'), ('00:00:11.000', '00:00:12.200'), ('00:00:12.200', '00:00:13.200'), ('00:00:13.200', '00:00:14.533'), ('00:00:14.533', '00:00:15.767'), ('00:00:15.767', '00:00:17.700'), ('00:00:17.700', '00:00:19.633'), ('00:00:19.633', '00:00:20.633'), ('00:00:20.633', '00:00:23.467'), ('00:00:23.467', '00:00:24.167'), ('00:00:24.167', '00:00:25.600'), ('00:00:25.600', '00:00:26.933'), ('00:00:26.933', '00:00:28.767'), ('00:00:28.767', '00:00:29.733'), ('00:00:29.733', '00:00:30.767'), ('00:00:30.767', '00:00:31.767'), ('00:00:31.767', '00:00:33.400'), ('00:00:33.400', '00:00:34.767'), ('00:00:34.767', '00:00:36.200')]"
results/honest/C_3AyLsAfFS_2024-09-13_13-55-19_UTC,"[(0.0, 2.233), (2.233, 4.6), (4.6, 5.567), (5.567, 8.467), (8.467, 9.933), (9.933, 11.533), (11.533, 13.567), (13.567, 16.767), (16.767, 18.267), (18.267, 22.2), (22.2, 24.0)]","[('00:00:00.000', '00:00:02.233'), ('00:00:02.233', '00:00:04.600'), ('00:00:04.600', '00:00:05.567'), ('00:00:05.567', '00:00:08.467'), ('00:00:08.467', '00:00:09.933'), ('00:00:09.933', '00:00:11.533'), ('00:00:11.533', '00:00:13.567'), ('00:00:13.567', '00:00:16.767'), ('00:00:16.767', '00:00:18.267'), ('00:00:18.267', '00:00:22.200'), ('00:00:22.200', '00:00:24.000')]"
