path,video_duration,num_scenes
results/mymilliemoon/DBPzDigtYKm_2024-10-18_01-20-00_UTC.mp4,17.5,6.0
results/mymilliemoon/C4dnb2iRGj__2024-03-13_17-27-32_UTC.mp4,34.32,11.0
results/mymilliemoon/C8XyNnyv-oF_2024-06-18_21-14-49_UTC.mp4,82.53,36.0
results/mymilliemoon/C_wHWYvyrZy_2024-09-10_21-31-25_UTC_1.mp4,32.39,15.0
results/mymilliemoon/C379j90r-IJ_2024-02-29_15-53-11_UTC.mp4,73.56,30.0
results/mymilliemoon/DBRrUMBySnN_2024-10-18_18-53-26_UTC.mp4,34.62,3.0
results/mymilliemoon/C9FjL_nx-fg_2024-07-06_15-45-34_UTC.mp4,67.06,18.0
results/honest/C_gC5QvvaXR_2024-09-04_15-58-14_UTC_1.mp4,38.03,
results/honest/C6tnbX9L1fl_2024-05-08_15-37-02_UTC_1.mp4,36.29,22.0
results/honest/C_3AyLsAfFS_2024-09-13_13-55-19_UTC.mp4,24.12,
results/honest/C_3gPfOxk_y_2024-09-13_18-23-16_UTC_2_1.mp4,2.76,
results/honest/C97rNAxORw8_2024-07-27_16-19-02_UTC_1.mp4,26.56,18.0
results/honest/C6-EfczujCO_2024-05-15_00-59-41_UTC_1.mp4,42.47,0.0
results/honest/C-y6e8tpeOr_2024-08-18_03-08-10_UTC.mp4,299.86,70.0
results/honest/C9cndzQMDO-_2024-07-15_14-45-52_UTC_1.mp4,21.57,10.0
results/honest/C2-8LJHPO9-_2024-02-05_23-11-48_UTC.mp4,58.88,41.0
results/honest/C_iohqoPRuP_2024-09-05_15-52-48_UTC_1.mp4,43.26,
results/honest/C2sZ8cTpzQ-_2024-01-29_18-20-07_UTC_1.mp4,29.0,3.0
results/honest/C9-Apt8JH7f_2024-07-28_13-59-07_UTC_5_1.mp4,1.6,0.0
results/honest/C7E7GCjJody_2024-05-17_16-51-33_UTC_1.mp4,25.66,21.0
results/honest/C-v-eaeAseo_2024-08-16_23-43-02_UTC.mp4,18.13,10.0
results/honest/C3F6eJUMTmT_2024-02-08_16-01-16_UTC_1.mp4,48.71,49.0
results/honest/C__xV9Gyls3_2024-09-16_23-30-36_UTC.mp4,36.53,
results/honest/C-3kELxSbx9_2024-08-19_22-26-52_UTC.mp4,38.36,26.0
results/honest/C5dvPsPuj-u_2024-04-07_15-08-38_UTC.mp4,11.54,14.0
results/honest/C-Tkr4oJApf_2024-08-05_22-59-51_UTC.mp4,36.57,19.0
results/honest/C__pzQhpr1M_2024-09-16_22-23-00_UTC_1.mp4,37.43,
results/honest/C7HbfzpuQW-_2024-05-18_16-13-18_UTC_1.mp4,34.32,5.0
results/honest/C9Vs2BpvGl9_2024-07-12_22-16-49_UTC.mp4,42.0,30.0
results/honest/C9ugVHiuE7H_2024-07-22_13-28-43_UTC.mp4,12.72,17.0
results/honest/C3blRYlg7cY_2024-02-17_01-59-31_UTC_1.mp4,38.54,31.0
results/honest/C-vk3Z0uQv__2024-08-16_19-59-35_UTC_1.mp4,32.2,24.0
results/honest/C5RJLagLDOB_2024-04-02_17-53-47_UTC_1.mp4,20.08,4.0
results/honest/Cz98vlUM7PN_2023-11-23_00-13-19_UTC.mp4,13.19,9.0
results/honest/C-n6rWzyQzZ_2024-08-13_20-37-36_UTC.mp4,36.43,22.0
results/honest/C9umSZnOhje_2024-07-22_14-20-39_UTC.mp4,22.59,2.0
results/honest/C2--VsQgp6-_2024-02-05_23-18-51_UTC_1.mp4,31.53,20.0
